title,rating,year,actors,languages,runtime,url
Sullivan's Travels,7.9,1941,Joel McCrea;Veronica Lake;Robert Warwick;William Demarest,English,90,https://www.imdb.com//title/tt0034240/
The Lady Eve,7.8,1941,Barbara Stanwyck;Henry Fonda;Charles Coburn;Eugene Pallette,English,94,https://www.imdb.com//title/tt0033804/
Citizen Kane,8.3,1941,Orson Welles;Joseph Cotten;Dorothy Comingore;Agnes Moorehead,English;Italian,119,https://www.imdb.com//title/tt0033467/
The Ox-Bow Incident,8.0,1942,Henry Fonda;Dana Andrews;Mary Beth Hughes;Anthony Quinn,English;Spanish,75,https://www.imdb.com//title/tt0036244/
Casablanca,8.5,1942,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains,English;French;German;Italian,102,https://www.imdb.com//title/tt0034583/
"Now, Voyager",7.9,1942,Bette Davis;Paul Henreid;Claude Rains;Gladys Cooper,English;Portuguese,117,https://www.imdb.com//title/tt0035140/
Gevangenen van 't verleden,8.0,1942,Ronald Colman;Greer Garson;Philip Dorn;Susan Peters,English,126,https://www.imdb.com//title/tt0035238/
Spionnage in het spel,8.2,1942,Carole Lombard;Jack Benny;Robert Stack;Felix Bressart,English;German,99,https://www.imdb.com//title/tt0035446/
Shadow of a Doubt,7.8,1943,Teresa Wright;Joseph Cotten;Macdonald Carey;Henry Travers,English,108,https://www.imdb.com//title/tt0036342/
The Life and Death of Colonel Blimp,8.1,1943,Emeric Pressburger;Roger Livesey;Deborah Kerr;Anton Walbrook;James McKechnie,English;French;German,163,https://www.imdb.com//title/tt0036112/
Arsenicum en oude kant,8.0,1943,Cary Grant;Priscilla Lane;Raymond Massey;Jack Carson,English;German,118,https://www.imdb.com//title/tt0036613/
Le corbeau,7.9,1943,Pierre Fresnay;Ginette Leclerc;Micheline Francey;Héléna Manson,French,92,https://www.imdb.com//title/tt0035753/
De dag des oordeels,8.1,1943,Thorkild Roose;Lisbeth Movin;Sigrid Neiiendam;Kirsten Andreasen,Danish,97,https://www.imdb.com//title/tt0036506/
Avontuur op Martinique,7.8,1944,Humphrey Bogart;Lauren Bacall;Walter Brennan;Dolores Moran,English;French,100,https://www.imdb.com//title/tt0037382/
De belhamel,7.8,1944,Heinz Rühmann;Karin Himboldt;Hilde Sessak;Erich Ponto,German,97,https://www.imdb.com//title/tt0036818/
Double Indemnity,8.3,1944,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Byron Barr,English,107,https://www.imdb.com//title/tt0036775/
Ivan Groznyy,7.8,1944,Nikolay Cherkasov;Lyudmila Tselikovskaya;Serafima Birman;Mikhail Nazvanov,Russian,103,https://www.imdb.com//title/tt0037824/
Laura,8.0,1944,Gene Tierney;Dana Andrews;Clifton Webb;Vincent Price,English,88,https://www.imdb.com//title/tt0037008/
Roma città aperta,8.1,1945,Anna Magnani;Aldo Fabrizi;Marcello Pagliero;Vito Annichiarico,Italian;German;Latin,103,https://www.imdb.com//title/tt0038890/
Les enfants du paradis,8.4,1945,Arletty;Jean-Louis Barrault;Pierre Brasseur;Pierre Renoir,French,189,https://www.imdb.com//title/tt0037674/
A Tree Grows in Brooklyn,8.0,1945,Dorothy McGuire;Joan Blondell;James Dunn;Lloyd Nolan,English,129,https://www.imdb.com//title/tt0038190/
Mildred Pierce,8.0,1945,Joan Crawford;Jack Carson;Zachary Scott;Eve Arden,English,111,https://www.imdb.com//title/tt0037913/
Brief Encounter,8.0,1945,Celia Johnson;Trevor Howard;Stanley Holloway;Joyce Carey,English;French,86,https://www.imdb.com//title/tt0037558/
Een Zaak van Leven en Dood,8.1,1946,Emeric Pressburger;David Niven;Kim Hunter;Robert Coote;Kathleen Byron,English;French;Russian,104,https://www.imdb.com//title/tt0038733/
It's a Wonderful Life,8.6,1946,James Stewart;Donna Reed;Lionel Barrymore;Thomas Mitchell,English;French,130,https://www.imdb.com//title/tt0038650/
Notorious,8.0,1946,Cary Grant;Ingrid Bergman;Claude Rains;Louis Calhern,English;French;Portuguese,102,https://www.imdb.com//title/tt0038787/
De schoenpoetsertjes,8.0,1946,Rinaldo Smordoni;Franco Interlenghi;Annielo Mele;Bruno Ortensi,Italian;English,87,https://www.imdb.com//title/tt0038913/
De beste jaren van ons leven,8.1,1946,Myrna Loy;Dana Andrews;Fredric March;Teresa Wright,English,170,https://www.imdb.com//title/tt0036868/
Gangsters vergeten niet,8.0,1947,Robert Mitchum;Jane Greer;Kirk Douglas;Rhonda Fleming,English;American Sign Language,97,https://www.imdb.com//title/tt0039689/
Miracle on 34th Street,7.9,1947,Edmund Gwenn;Maureen O'Hara;John Payne;Gene Lockhart,English;Dutch,96,https://www.imdb.com//title/tt0039628/
Monsieur Verdoux,7.9,1947,Charles Chaplin;Mady Correll;Allison Roddan;Robert Lewis,English,124,https://www.imdb.com//title/tt0039631/
Mrs. Muir ziet spoken,7.9,1947,Gene Tierney;Rex Harrison;George Sanders;Edna Best,English,104,https://www.imdb.com//title/tt0039420/
Black Narcissus,7.8,1947,Emeric Pressburger;Deborah Kerr;David Farrar;Flora Robson;Jenny Laird,English,101,https://www.imdb.com//title/tt0039192/
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett,English;Spanish,126,https://www.imdb.com//title/tt0040897/
Letter from an Unknown Woman,8.0,1948,Joan Fontaine;Louis Jourdan;Mady Christians;Marcel Journet,English,87,https://www.imdb.com//title/tt0040536/
Ladri di biciclette,8.3,1948,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri,Italian;English;German,89,https://www.imdb.com//title/tt0040522/
Rope,8.0,1948,James Stewart;John Dall;Farley Granger;Dick Hogan,English,80,https://www.imdb.com//title/tt0040746/
The Red Shoes,8.1,1948,Emeric Pressburger;Anton Walbrook;Marius Goring;Moira Shearer;Robert Helpmann,English;French;Russian,135,https://www.imdb.com//title/tt0040725/
Kind Hearts and Coronets,8.0,1949,Dennis Price;Alec Guinness;Valerie Hobson;Joan Greenwood,English,106,https://www.imdb.com//title/tt0041546/
De erfgename,8.2,1949,Olivia de Havilland;Montgomery Clift;Ralph Richardson;Miriam Hopkins,English;French,115,https://www.imdb.com//title/tt0041452/
The Third Man,8.1,1949,Orson Welles;Joseph Cotten;Alida Valli;Trevor Howard,English;German;Russian,104,https://www.imdb.com//title/tt0041959/
